mnemonic	summary	kind	standard_status_hint	source_section
MLKCLEANED	LOCK garbage collection freed aaaa lock slots for region rrrr	Information	ydb-extension	MessageRecovery/errors.rst#MLKCLEANED
MLKHASHRESIZE	LOCK hash table increased in size from aaaa to bbbb and placed in shared memory (id = mmmm)	Information	ydb-extension	MessageRecovery/errors.rst#MLKHASHRESIZE
MLKHASHRESIZEFAIL	Failed to increase LOCK hash table size from aaaa to bbbb. Will retry with larger size.	Warning	ydb-extension	MessageRecovery/errors.rst#MLKHASHRESIZEFAIL
MLKHASHTABERR	A LOCK control structure is damaged and could not be corrected. Lock entry for LLLL is invalid.	Error	ydb-extension	MessageRecovery/errors.rst#MLKHASHTABERR
MLKHASHWRONG	A LOCK control structure has an invalid value; LOCK table failed integrity check. TTTT	Error	ydb-extension	MessageRecovery/errors.rst#MLKHASHWRONG
MLKREHASH	LOCK hash table rebuilt for region rrrr (seed = ssss)	Information	ydb-extension	MessageRecovery/errors.rst#MLKREHASH
MMBEFOREJNL	BEFORE image journaling cannot be set with MM access method in database file ffff	Error	ydb-extension	MessageRecovery/errors.rst#MMBEFOREJNL
MMFILETOOLARGE	Size of rrrr region (ffff) is larger than maximum size supported for memory mapped I/O on this platform	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MMFILETOOLARGE
MMNOBEFORIMG	MM segments do not support before image jounaling	Information	ydb-extension	MessageRecovery/errors.rst#MMNOBEFORIMG
MMNOBFORRPL	Replication cannot be used in database file ffff which uses MM access method and NOBEFORE image journaling	Error	ydb-extension	MessageRecovery/errors.rst#MMNOBFORRPL
MMREGNOACCESS	Region rrrr (ffff) is no longer accessible. See prior error messages in the operator and application error logs	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MMREGNOACCESS
MPROFRUNDOWN	Error during M-profiling rundown	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MPROFRUNDOWN
MRTMAXEXCEEDED	Maximum value of xxxx for SOCKET device parameter MOREREADTIME exceeded	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MRTMAXEXCEEDED
MSTACKCRIT	User-specified M stack size critical threshold of xxxx not appropriate; must be between mmmm and nnnn; reverting to kkkk	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MSTACKCRIT
MSTACKSZNA	User-specified M stack size of SSSS KiB not appropriate; must be between LLLL KiB and MMMM KiB; reverting to VVVV KiB	Information	ydb-extension	MessageRecovery/errors.rst#MSTACKSZNA
MTNOSKIP	SKIP operation not supported on this device	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MTNOSKIP
MUBCKNODIR	MUPIP backup aborted due to error in output directory	Error	ydb-extension	MessageRecovery/errors.rst#MUBCKNODIR
MUCREFILERR	Error in/at EEEE creating database DDDD (region RRRR)	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MUCREFILERR
MUDWNGRDNOTPOS	Downgrade not possible for a V7 database version	Error	ydb-extension	MessageRecovery/errors.rst#MUDWNGRDNOTPOS
MUFILRNDWNFL	File xxxx rundown failed	Error	ydb-extension	MessageRecovery/errors.rst#MUFILRNDWNFL
MUFILRNDWNFL2	Database section (id = dddd) belonging to database file ffff rundown failed	Error	ydb-extension	MessageRecovery/errors.rst#MUFILRNDWNFL2
MUFILRNDWNSUC	File xxxx successfully rundown		ydb-extension	MessageRecovery/errors.rst#MUFILRNDWNSUC
MUINFOSTR	xxxx : aaaa	Information	ydb-extension	MessageRecovery/errors.rst#MUINFOSTR
MUINFOUINT4	xxxx : aaaa bbbb	Information	ydb-extension	MessageRecovery/errors.rst#MUINFOUINT4
MUINFOUINT6	tttt : vvvv hhhh ; $H=ddddd,ttttt	Information	ydb-extension	MessageRecovery/errors.rst#MUINFOUINT6
MUINFOUINT8	xxxx : aaaa [bbbb]	Information	ydb-extension	MessageRecovery/errors.rst#MUINFOUINT8
MUINSTFROZEN	tttt : Instance iiii is frozen. Waiting for instance to be unfrozen before proceeding with writes to database file ffff	Information	ydb-extension	MessageRecovery/errors.rst#MUINSTFROZEN
MUINSTUNFROZEN	tttt : Instance iiii is now Unfrozen. Continuing with writes to database file ffff	Information	ydb-extension	MessageRecovery/errors.rst#MUINSTUNFROZEN
MUJNLPREVGEN	Previous generation journal file xxxx included for database file yyyy	Information	ydb-extension	MessageRecovery/errors.rst#MUJNLPREVGEN
MUJNLSTAT	xxxx at yyyy	Information	ydb-extension	MessageRecovery/errors.rst#MUJNLSTAT
MUJPOOLRNDWNFL	Jnlpool section (id = xxxx) belonging to the replication instance yyyy rundown failed	Error	ydb-extension	MessageRecovery/errors.rst#MUJPOOLRNDWNFL
MUJPOOLRNDWNSUC	Jnlpool section (id = xxxx) belonging to the replication instance yyyy successfully rundown	Information	ydb-extension	MessageRecovery/errors.rst#MUJPOOLRNDWNSUC
MUKEEPNODEC	Expected decimal integer input for keep	Error	ydb-extension	MessageRecovery/errors.rst#MUKEEPNODEC
MUKEEPNOTRUNC	Keep issued without -truncate	Error	ydb-extension	MessageRecovery/errors.rst#MUKEEPNOTRUNC
MUKEEPPERCENT	Keep threshold percentage should be from 0 to 99	Error	ydb-extension	MessageRecovery/errors.rst#MUKEEPPERCENT
MUKILLIP	Kill in progress indicator is set for file xxxx - this yyyy operation is likely to result in incorrectly marked busy errors	Warning	ydb-extension	MessageRecovery/errors.rst#MUKILLIP
MULOGNAMEDEF	Logical name xxxx, needed to start replication server is already defined for this job. Check for an existing or improperly terminated server.	Error	ydb-extension	MessageRecovery/errors.rst#MULOGNAMEDEF
MULTFORMPARM	This formal parameter is multiply defined	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#MULTFORMPARM
MULTIPROCLATCH	Failed to get multi-process latch at xxxx	Error	ydb-extension	MessageRecovery/errors.rst#MULTIPROCLATCH
MULTLAB	This label has been previously defined	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#MULTLAB
MUNOACTION	MUPIP unable to perform requested action	Error	ydb-extension	MessageRecovery/errors.rst#MUNOACTION
MUNODBNAME	A database name or the region qualifier must be specified	Error	ydb-extension	MessageRecovery/errors.rst#MUNODBNAME
MUNODWNGRD	Database not downgraded because of preceding errors	Error	ydb-extension	MessageRecovery/errors.rst#MUNODWNGRD
MUNOFINISH	MUPIP unable to finish all requested actions	Error	ydb-extension	MessageRecovery/errors.rst#MUNOFINISH
MUNOTALLINTEG	At least one region skipped. See the earlier messages	Warning	ydb-extension	MessageRecovery/errors.rst#MUNOTALLINTEG
MUNOTALLSEC	WARNING: not all global sections accessed were successfully rundown	Warning	ydb-extension	MessageRecovery/errors.rst#MUNOTALLSEC
MUNOUPGRD	Database not upgraded because of preceding errors	Error	ydb-extension	MessageRecovery/errors.rst#MUNOUPGRD
MUPCLIERR	Action not taken due to CLI errors	Error	ydb-extension	MessageRecovery/errors.rst#MUPCLIERR
MUPGRDSUCC	Database file xxx successfully yyy to zzz	Information	ydb-extension	MessageRecovery/errors.rst#MUPGRDSUCC
MUPIPINFO	xxxx	Information	ydb-extension	MessageRecovery/errors.rst#MUPIPINFO
MUPIPSET2BIG	vvvv too large, maximum tttt allowed is mmmm	Error	ydb-extension	MessageRecovery/errors.rst#MUPIPSET2BIG
MUPIPSET2SML	vvvv too small, minimum tttt allowed is mmmm	Error	ydb-extension	MessageRecovery/errors.rst#MUPIPSET2SML
MUPIPSIG	aaaa (signal xxxx) issued from process yyyy [0xbbbb] to process zzzz [0xcccc]	Information	ydb-extension	MessageRecovery/errors.rst#MUPIPSIG
MUPJNLINTERRUPT	Database file xxxx indicates interrupted MUPIP JOURNAL command. Restore from backup for forward recover/rollback.	Error	ydb-extension	MessageRecovery/errors.rst#MUPJNLINTERRUPT
MUPRECFLLCK	Database file xxxx is locked by MUPIP RECOVER. Could not secure access.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MUPRECFLLCK
MUPRESTERR	MUPIP restore aborted due to preceding errors	Error	ydb-extension	MessageRecovery/errors.rst#MUPRESTERR
MUQUALINCOMP	Incompatible qualifiers - FILE and REGION	Error	ydb-extension	MessageRecovery/errors.rst#MUQUALINCOMP
MURAIMGFAIL	Mupip recover or rollback failed while processing an after-image journal record. Failure code: xxxx.	Error	ydb-extension	MessageRecovery/errors.rst#MURAIMGFAIL
MUREENCRYPTEND	Database ffff : MUPIP REORG ENCRYPT finished by pid pppp at transaction number [tttt]	Information	ydb-extension	MessageRecovery/errors.rst#MUREENCRYPTEND
MUREENCRYPTSTART	Database ffff : MUPIP REORG ENCRYPT started by pid pppp at transaction number [tttt]	Information	ydb-extension	MessageRecovery/errors.rst#MUREENCRYPTSTART
MUREORGFAIL	MUPIP REORG failed. Failure code: xxxx.	Error	ydb-extension	MessageRecovery/errors.rst#MUREORGFAIL
MUREPLPOOL	Error with replpool section xxxx	Error	ydb-extension	MessageRecovery/errors.rst#MUREPLPOOL
MUREPLSECDEL	Replication section xxxx deleted	Information	ydb-extension	MessageRecovery/errors.rst#MUREPLSECDEL
MUREPLSECNOTDEL	Replication section xxxx not deleted	Error	ydb-extension	MessageRecovery/errors.rst#MUREPLSECNOTDEL
MUREUPDWNGRDEND	Region xxxx : MUPIP REORG UPGRADE/DOWNGRADE finished by pid aaaa bbbb at transaction number [cccc]	Information	ydb-extension	MessageRecovery/errors.rst#MUREUPDWNGRDEND
MURNDWNARGLESS	Argumentless MUPIP RUNDOWN started with process id PPPP by userid UUUU from directory DDDD	Information	ydb-extension	MessageRecovery/errors.rst#MURNDWNARGLESS
MURNDWNOVRD	OVERRIDE qualifier used with MUPIP RUNDOWN on database file dddd	Information	ydb-extension	MessageRecovery/errors.rst#MURNDWNOVRD
MURPOOLRNDWNFL	Recvpool section (id = xxxx) belonging to the replication instance yyyy rundown failed	Error	ydb-extension	MessageRecovery/errors.rst#MURPOOLRNDWNFL
MURPOOLRNDWNSUC	Recvpool section (id = xxxx) belonging to the replication instance yyyy successfully rundown	Information	ydb-extension	MessageRecovery/errors.rst#MURPOOLRNDWNSUC
MUSECDEL	Section xxxx deleted	Information	ydb-extension	MessageRecovery/errors.rst#MUSECDEL
MUSECNOTDEL	Section xxxx not deleted	Information	ydb-extension	MessageRecovery/errors.rst#MUSECNOTDEL
MUSELFBKUP	Database file xxxx can not be backed upon itself	Error	ydb-extension	MessageRecovery/errors.rst#MUSELFBKUP
MUSIZEFAIL	MUPIP SIZE : failed. Failure code: xxxx.	Error	ydb-extension	MessageRecovery/errors.rst#MUSIZEFAIL
MUSIZEINVARG	MUPIP SIZE : Invalid parameter value for: xxxx	Error	ydb-extension	MessageRecovery/errors.rst#MUSIZEINVARG
MUSTANDALONE	Could not get exclusive access to xxxx	Information	ydb-extension	MessageRecovery/errors.rst#MUSTANDALONE
MUTEXERR	Mutual Exclusion subsystem failure	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MUTEXERR
MUTEXFRCDTERM	Mutual Exclusion subsystem detected forced termination of process xxxx. Crit salvaged from database file dddd.	Warning	ydb-extension	MessageRecovery/errors.rst#MUTEXFRCDTERM
MUTEXLCKALERT	Mutual Exclusion subsystem ALERT - lock attempt threshold crossed for region rrrr. Process pppp is in crit cycle cccc.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MUTEXLCKALERT
MUTEXRELEASED	Process xxxx aaaa has released the critical section for database yyyy to avoid deadlock. $TLEVEL: pppp t_tries: qqqq	Information	ydb-extension	MessageRecovery/errors.rst#MUTEXRELEASED
MUTEXRSRCCLNUP	Mutex subsystem leftover resource xxxx removed	Information	ydb-extension	MessageRecovery/errors.rst#MUTEXRSRCCLNUP
MUTNWARN	Database file xxxx has aaa more transactions to go before reaching the transaction number limit (bbbb). Renew database with MUPIP INTEG TN_RESET	Warning	ydb-extension	MessageRecovery/errors.rst#MUTNWARN
MUTRUNC1ATIME	Process with PID iiii already performing truncate in region rrrr	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNC1ATIME
MUTRUNCALREADY	Region xxxx: no further truncation possible	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNCALREADY
MUTRUNCBACKINPROG	Truncate detected concurrent backup in progress for region rrrr	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNCBACKINPROG
MUTRUNCERROR	Truncate of region rrrr encountered service error eeee	Error	ydb-extension	MessageRecovery/errors.rst#MUTRUNCERROR
MUTRUNCFAIL	Truncate failed after reorg. Failure code: xxxx.	Error	ydb-extension	MessageRecovery/errors.rst#MUTRUNCFAIL
MUTRUNCNOSPACE	Region rrrr has insufficient space to meet truncate target percentage of yyyy	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNCNOSPACE
MUTRUNCNOSPKEEP	Region rrrr has insufficient space to meet truncate target percentage of pppp with keep at bbbb blocks	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNCNOSPKEEP
MUTRUNCNOTBG	Region rrrr does not have access method BG	Error	ydb-extension	MessageRecovery/errors.rst#MUTRUNCNOTBG
MUTRUNCPERCENT	Truncate threshold percentage should be from 0 to 99	Error	ydb-extension	MessageRecovery/errors.rst#MUTRUNCPERCENT
MUTRUNCSSINPROG	Truncate detected concurrent snapshot in progress for region rrrr	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNCSSINPROG
MUTRUNCSUCCESS	Database file dddd truncated from oooo blocks to nnnn at transaction tttt	Information	ydb-extension	MessageRecovery/errors.rst#MUTRUNCSUCCESS
MUUPGRDNRDY	Database xxxx has not been completely upgraded to yyyy format - still bbbb database blocks to upgrade	Error	ydb-extension	MessageRecovery/errors.rst#MUUPGRDNRDY
MUUSERECOV	Abnormal shutdown of journaled database dddd detected	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MUUSERECOV
MUUSERLBK	Abnormal shutdown of replication-enabled database dddd detected	Run Time Error	ydb-extension	MessageRecovery/errors.rst#MUUSERLBK
NAMECOUNT2HI	Number of varnames specified as the namecount parameter in a xxxx call (vvvv) exceeds the maximum (mmmm)	Error	ydb-extension	MessageRecovery/errors.rst#NAMECOUNT2HI
NAMEEXPECTED	A local variable name is expected in this context	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#NAMEEXPECTED
NAMENDBAD	Subscripted name ssss must end with right parenthesis	Error	ydb-extension	MessageRecovery/errors.rst#NAMENDBAD
NAMGVSUBOFLOW	Subscripted name hhhh...tttt is too long to represent in the database using collation value #nnnn	Error	ydb-extension	MessageRecovery/errors.rst#NAMGVSUBOFLOW
NAMGVSUBSMAX	Subscripted Name specification nnnn has more than the maximum # of subscripts (mmmm)	Error	ydb-extension	MessageRecovery/errors.rst#NAMGVSUBSMAX
NAMLPARENNOTBEG	Subscripted Name specification nnnn needs to have a left parenthesis at the beginning of subscripts	Error	ydb-extension	MessageRecovery/errors.rst#NAMLPARENNOTBEG
NAMNOTSTRSUBS	Subscript #nnnn with value vvvv in name specification is not a properly formatted string subscript	Error	ydb-extension	MessageRecovery/errors.rst#NAMNOTSTRSUBS
NAMNUMSUBNOTEXACT	Subscript #nnnn with value vvvv in name specification is not an exact GT.M number	Error	ydb-extension	MessageRecovery/errors.rst#NAMNUMSUBNOTEXACT
NAMNUMSUBSOFLOW	Subscript #nnnn with value vvvv in name specification has a numeric overflow	Error	ydb-extension	MessageRecovery/errors.rst#NAMNUMSUBSOFLOW
NAMONECOLON	Subscripted Name specification nnnn must have at most one colon (range) specification	Error	ydb-extension	MessageRecovery/errors.rst#NAMONECOLON
NAMRANGELASTSUB	Ranges in name specification nnnn are allowed only in the last subscript	Error	ydb-extension	MessageRecovery/errors.rst#NAMRANGELASTSUB
NAMRANGEORDER	Range in name specification nnnn specifies out-of-order subscripts using collation sequence #cccc	Error	ydb-extension	MessageRecovery/errors.rst#NAMRANGEORDER
NAMRANGEOVERLAP	Range in name specifications mmmm and nnnn overlap using collation sequence #cccc	Error	ydb-extension	MessageRecovery/errors.rst#NAMRANGEOVERLAP
NAMRPARENMISSING	Subscripted Name specification vvvv is missing one or more right parentheses at the end of subscripts	Error	ydb-extension	MessageRecovery/errors.rst#NAMRPARENMISSING
NAMRPARENNOTEND	Subscripted Name specification nnnn cannot have anything following the right parenthesis at the end of subscripts	Error	ydb-extension	MessageRecovery/errors.rst#NAMRPARENNOTEND
NAMSTARSUBSMIX	Name specification nnnn cannot contain * and subscripts at the same time	Error	ydb-extension	MessageRecovery/errors.rst#NAMSTARSUBSMIX
NAMSTRSUBSCHARG	Subscript #nnnn with value vvvv in name specification specifies a $C/$ZCH with number cccc that is invalid in the current $zchset	Error	ydb-extension	MessageRecovery/errors.rst#NAMSTRSUBSCHARG
NAMSTRSUBSCHINT	Subscript #nnnn with value vvvv in name specification does not have a positive integer inside $C/$CHAR/$ZCH/$ZCHAR	Error	ydb-extension	MessageRecovery/errors.rst#NAMSTRSUBSCHINT
NAMSTRSUBSFUN	Subscript #nnnn with value vvvv in name specification uses function other than $C/$CHAR/$ZCH/$ZCHAR	Error	ydb-extension	MessageRecovery/errors.rst#NAMSTRSUBSFUN
NAMSTRSUBSLPAREN	Subscript #nnn with value vvv in name specification does not have left parenthesis following $ specification	Error	ydb-extension	MessageRecovery/errors.rst#NAMSTRSUBSLPAREN
NAMSUBSBAD	Subscript #nnnn with value vvvv in name specification is an invalid number or string	Error	ydb-extension	MessageRecovery/errors.rst#NAMSUBSBAD
NAMSUBSEMPTY	Subscript #nnnn is empty in name specification	Error	ydb-extension	MessageRecovery/errors.rst#NAMSUBSEMPTY
NCTCOLLDIFF	Source and destination for MERGE cannot have different numerical collation type	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NCTCOLLDIFF
NCTCOLLSPGBL	Database region rrrr contains portion of spanning global ^gggg and so cannot support non-zero numeric collation type	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NCTCOLLSPGBL
NEEDTRIGUPGRD	Cannot do trigger operation on database file ffff until it is upgraded; Run MUPIP TRIGGER -UPGRADE first	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NEEDTRIGUPGRD
NEGFRACPWR	Invalid operation: fractional power of negative number	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NEGFRACPWR
NESTFORMP	Formal parameter list cannot be combined with nested line	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#NESTFORMP
NETDBOPNERR	Error while attempting to open database across net	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NETDBOPNERR
NETFAIL	Failure of Net operation	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NETFAIL
NETLCKFAIL	Lock operation across Net failed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NETLCKFAIL
NEWJNLFILECREAT	Journal file xxxx nearing maximum size. New journal file created.	Information	ydb-extension	MessageRecovery/errors.rst#NEWJNLFILECREAT
NLMISMATCHCALC	Location of xxxx expected at yyyy, but found at zzzz	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NLMISMATCHCALC
NLRESTORE	DB file header field FFFF: VVVV does not match the value used in original mapping - restoring to: OOOO	Warning	ydb-extension	MessageRecovery/errors.rst#NLRESTORE
NOACTION	Not updating Global Directory xxxx	Information	ydb-extension	MessageRecovery/errors.rst#NOACTION
NOALIASLIST	Parenthetical lists of multiple arguments cannot have a preceding alias introducer or include alias (*) forms	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOALIASLIST
NOCANONICNAME	Value is not a canonic name (xxxx)	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOCANONICNAME
NOCCPPID	Cannot find CCP process id	Error	ydb-extension	MessageRecovery/errors.rst#NOCCPPID
NOCHLEFT	Unhandled condition exception (all handlers exhausted) - process terminating	Fatal	ydb-extension	MessageRecovery/errors.rst#NOCHLEFT
NOCREMMBIJ	MM access method not compatible with BEFORE image journaling; Database file DDDD not created	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOCREMMBIJ
NOCRENETFILE	Database file DDDD not created; cannot create across network	Error	ydb-extension	MessageRecovery/errors.rst#NOCRENETFILE
NODEEND	End of list of nodes/subscripts	Error	ydb-extension	MessageRecovery/errors.rst#NODEEND
NODFRALLOCSUPP	The NODEFER_ALLOCATE qualifier is not allowed on this operating system. Not changing the defer allocation flag	Error	ydb-extension	MessageRecovery/errors.rst#NODFRALLOCSUPP
NOEDITOR	Can't find an executable editor: eeee	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOEDITOR
NOENDIANCVT	Unable to convert the endian format of file dddd due to eeee	Error	ydb-extension	MessageRecovery/errors.rst#NOENDIANCVT
NOEXCLUDE	None of the excluded variables exist	Information	ydb-extension	MessageRecovery/errors.rst#NOEXCLUDE
NOEXCNOZTRAP	Neither an exception nor a Ztrap is specified	Warning	ydb-extension	MessageRecovery/errors.rst#NOEXCNOZTRAP
NOEXIT	Cannot exit because of verification failure	Information	ydb-extension	MessageRecovery/errors.rst#NOEXIT
NOFILTERNEST	Filter nesting not allowed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOFILTERNEST
NOFORKCORE	Unable to fork off process to create core. Core creation postponed.	Warning	ydb-extension	MessageRecovery/errors.rst#NOFORKCORE
NOGTCMDB	ffff does not support operation on GT.CM database region: rrrr	Error	ydb-extension	MessageRecovery/errors.rst#NOGTCMDB
NOJNL	ssss segments do not support journaling	Error	ydb-extension	MessageRecovery/errors.rst#NOJNL
NOJNLPOOL	No journal pool info found in the replication instance of xxxx	Error	ydb-extension	MessageRecovery/errors.rst#NOJNLPOOL
NOLBRSRC	Object libraries cannot have SRC paths associated	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOLBRSRC
NOLOCKMATCH	No matching locks were found in rrrr	Information	ydb-extension	MessageRecovery/errors.rst#NOLOCKMATCH
NOLOG	Logging is currently disabled Log file is xxxx.	Error	ydb-extension	MessageRecovery/errors.rst#NOLOG
NOMORESEMCNT	SSSS counter semaphore has reached its maximum and stopped counting for DDDD xxxx. Run MUPIP JOURNAL -ROLLBACK -BACKWARD, MUPIP JOURNAL -RECOVER -BACKWARD or MUPIP RUNDOWN to restore the database files and shared resources to a clean state	Information	ydb-extension	MessageRecovery/errors.rst#NOMORESEMCNT
NONASCII	ssss is illegal for a oooo as it contains non-ASCII characters	Error	ydb-extension	MessageRecovery/errors.rst#NONASCII
NONEGATE	Qualifier xxxx cannot be negated	Error	ydb-extension	MessageRecovery/errors.rst#NONEGATE
NONTPRESTART	Database dddd; code: cccc; blk: bbbb in glbl: ^gggg; blklvl: llll, type: tttt, zpos: pppp	Information	ydb-extension	MessageRecovery/errors.rst#NONTPRESTART
NONUTF8LOCALE	Locale has character encoding (cccc) which is not compatible with UTF-8 character set	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NONUTF8LOCALE
NOPERCENTY	^%Y* is a reserved global name in YottaDB	Error	ydb-extension	MessageRecovery/errors.rst#NOPERCENTY
NOPINI	PINI journal record expected but not found in journal file xxxx at offset yyyy	Error	ydb-extension	MessageRecovery/errors.rst#NOPINI
NOPLACE	Line specified in a ZBREAK cannot be found	Warning	ydb-extension	MessageRecovery/errors.rst#NOPLACE
NOPREVLINK	Journal file xxxx has a null previous link	Error	ydb-extension	MessageRecovery/errors.rst#NOPREVLINK
NOPRINCIO	Unable to dddd principal device: DDDD at LLLL due to: SSSS	Fatal	ydb-extension	MessageRecovery/errors.rst#NOPRINCIO
NORECVPOOL	No receive pool info found in the replication instance of xxxx	Error	ydb-extension	MessageRecovery/errors.rst#NORECVPOOL
NOREGION	REGION not found: xxxx	Error	ydb-extension	MessageRecovery/errors.rst#NOREGION
NOREPLCTDREG	Replication subsystem found no region replicated for dddd ffff	Warning	ydb-extension	MessageRecovery/errors.rst#NOREPLCTDREG
NORESYNCSUPPLONLY	NORESYNC only supported for Supplementary Instances	Error	ydb-extension	MessageRecovery/errors.rst#NORESYNCSUPPLONLY
NORESYNCUPDATERONLY	NORESYNC qualifier only allowed on a Supplementary Instance which allows local updates	Error	ydb-extension	MessageRecovery/errors.rst#NORESYNCUPDATERONLY
NORTN	Routine name missing	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NORTN
NOSELECT	None of the selected variables exist -- halting	Information	ydb-extension	MessageRecovery/errors.rst#NOSELECT
NOSOCKETINDEV	There is no socket in the current socket device	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOSOCKETINDEV
NOSOCKHANDLE	No socket handle specified in WRITE /PASS	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOSOCKHANDLE
NOSPACECRE	Not enough space to create database file xxxx. aaaa blocks are needed, only bbbb available.	Error	ydb-extension	MessageRecovery/errors.rst#NOSPACECRE
NOSPACEEXT	Not enough disk space for file xxxx to extend. aaaa blocks needed. bbbb blocks available.	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOSPACEEXT
NOSTARFILE	Only star(*) argument can be specified with xxxx	Error	ydb-extension	MessageRecovery/errors.rst#NOSTARFILE
NOSUBSCRIPT	No such subscript found (xxxx)	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOSUBSCRIPT
NOSUCHPROC	Process xxxx does not exist - no need to yyyy it	Information	ydb-extension	MessageRecovery/errors.rst#NOSUCHPROC
NOSUPPLSUPPL	Instance ssss is configured to perform local updates so it cannot receive from Supplementary Instance iiii	Error	ydb-extension	MessageRecovery/errors.rst#NOSUPPLSUPPL
NOTALLDBOPN	Not all required database files were opened	Fatal	ydb-extension	MessageRecovery/errors.rst#NOTALLDBOPN
NOTALLDBRNDWN	Not all regions were successfully rundown	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOTALLDBRNDWN
NOTALLJNLEN	Journaling disabled/off for dddd regions	Warning	ydb-extension	MessageRecovery/errors.rst#NOTALLJNLEN
NOTALLREPLON	Replication off for dddd regions	Warning	ydb-extension	MessageRecovery/errors.rst#NOTALLREPLON
NOTERMENTRY	"TERM = ""xxxx"" has no ""terminfo"" entry. Possible terminal handling problems."	Information	ydb-extension	MessageRecovery/errors.rst#NOTERMENTRY
NOTERMENV	"Environment variable TERM not set. Assuming ""unknown."""	Information	ydb-extension	MessageRecovery/errors.rst#NOTERMENV
NOTERMINFODB	"No ""terminfo"" database. Terminal handling problems likely."	Information	ydb-extension	MessageRecovery/errors.rst#NOTERMINFODB
NOTEXTRINSIC	QUIT/ZHALT does not return to an extrinsic function: argument not allowed	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOTEXTRINSIC
NOTGBL	Expected a global variable name starting with an up-arrow (^): xxxx	Error	ydb-extension	MessageRecovery/errors.rst#NOTGBL
NOTMNAME	XXXX is not a valid M name	Compile Time Error	ydb-extension	MessageRecovery/errors.rst#NOTMNAME
NOTPOSITIVE	xxxx qualifier must be given a value greater than zero	Error	ydb-extension	MessageRecovery/errors.rst#NOTPOSITIVE
NOTPRINCIO	Output currently directed to device xxxx	Warning	ydb-extension	MessageRecovery/errors.rst#NOTPRINCIO
NOTREPLICATED	Transaction number xxxx generated by the yyyy process (PID = zzzz) is not replicated to the secondary	Information	ydb-extension	MessageRecovery/errors.rst#NOTREPLICATED
NOTRNDMACC	Only random access files are supported as backup files for non-incremental backup	Error	ydb-extension	MessageRecovery/errors.rst#NOTRNDMACC
NOTTOEOFONPUT	Not positioned to EOF on write (sequential organization only)	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOTTOEOFONPUT
NOUSERDB	ffff does not support operation on non-GDS format region: rrrr	Error	ydb-extension	MessageRecovery/errors.rst#NOUSERDB
NOVALUE	Qualifier xxxx does not take a value	Error	ydb-extension	MessageRecovery/errors.rst#NOVALUE
NOZBRK	No zbreak at that location	Information	ydb-extension	MessageRecovery/errors.rst#NOZBRK
NOZTRAPINTRIG	Use of $ZTRAP in a database trigger environment ($ZTLEVEL greater than 0) is not supported	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NOZTRAPINTRIG
NULLCOLLDIFF	Null collation order must be the same for all regions	Run Time Error	ydb-extension	MessageRecovery/errors.rst#NULLCOLLDIFF
